Data DO,Nome,Cargo,Símbolo,Lotação
2025-04-07,MARCELO GREGÓRIO,Diretor Geral,DAS-8,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,ALEXANDRE  BASTOS  MATTIOLI,Diretor de Divisão,DAS-6,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,CAROLINE GONÇALVES MOREIRA,Chefe de Serviço,DAI-6,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,MATHEUS  MENDONÇA  PINHEIRO,Diretor de Divisão,DAS-6,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,FELIPE FERREIRA DE LIMA,Assistente,DAS-6,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,TASSIO DINIZ VIEIRA,Chefe de Unidade,DAI-6,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,CAIO SERRANO ZARRO,Ajudante I,DAI-1,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,JOÃO PEREIRA LIMA FILHO,Ajudante I,DAI-1,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,FERNANDA  CAVANELLAS,Ajudante I,DAI-1,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,THAIS DE OLIVEIRA NASCIMENTO,Ajudante I,DAI-1,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,DIOGO MARTINS JORGE,Ajudante I,DAI-1,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,FLAVIO GUEDES TEIXEIRA,Ajudante I,DAI-1,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,ANA CAROLINA FIGUEIREDO DE SOUZA,Ajudante I,DAI-1,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,PATRÍCIA SANTOS DE OLIVEIRA BARBETA,Ajudante I,DAI-1,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,JESSICA  SIMÕES  APOLINARIO,Assistente de Logística III,DAI-4,"Instituto de Pesos e Medidas do Estado do Rio de Janeiro - IPEM/RJ, da Secretaria de Estado da Casa Civil"
2025-04-07,FABIO RICARDO SARMENTO COELHO,Assistente II,DAI-6,"Superintendência de Cerimonial, da Secretaria de Estado do Gabinete do Governador"
2025-04-07,SIMONE FELIPE SILVA,Assistente,DAI-2,"Depósito Público do Estado do Rio de Janeiro, da Subsecretaria de Administração, da Secretaria de Estado de Planejamento e Gestão"
2025-04-07,FRANCISCO KLEITON ALVES DO CARMO,Assistente,DAS-6,"Subsecretaria de Contabilidade Geral do Estado, da Secretaria de Estado de Fazenda"
2025-04-07,ALEXANDRE MELLO TELLES DE MENEZES,Coordenador,DAS-8,"Coordenadoria Executiva, da Superintendência de Fiscalização e Inteligência Fiscal, da Subsecretaria de Estado de Receita"
2025-04-07,SERGIO MAURICIO DINIZ FESTAS,Auditor Fiscal Subchefe,DAS-6,"Auditoria-Fiscal Especializada de Comércio Exterior, da Coordenadoria das Auditorias Fiscais Especializadas, da Superintendência de Fiscalização e Inteligência Fiscal"
2025-04-07,CELSO HENRIQUE CORRÊA LIMA,Assessor,DAS-8,"Assessoria de Direitos Administrativos, da Assessoria Jurídica de Fazenda, da Subsecretaria de Assuntos Jurídicos"
2025-04-07,LEONARDO GALDINO FEIJOLI,Assistente II,DAI-6,Secretaria de Estado de Fazenda
2025-04-07,CINTIA  CRISTINA  LOURENÇO,Ouvidor Geral,DAS-8,"Ouvidoria, da Presidência, do Fundo Único de Previdência Social do Estado do Rio de Janeiro - RIOPREVIDÊNCIA"
2025-04-07,JEFERSON  DOS  SANTOS  ARAÚJO,Assistente,DAS-6,"Fundo Único de Previdência Social do Estado do Rio de Janeiro - RIOPREVIDÊNCIA, da Secretaria de Estado de Fazenda"
2025-04-07,PRISCILLA ABRAHÃO SOARES DOS SANTOS,Coordenador,DAS-8,"Secretaria de Estado de Desenvolvimento Econômico, Indústria, Comércio e Serviços"
2025-04-07,RICARDO  DA  SILVA  SOUZA,Assistente,DAS-6,"Gabinete do Secretário, da Secretaria de Estado de Saúde"
2025-04-07,LUCAS SANTANA VALENTE,Coordenador,DAS-7,"Coordenadoria de Gestão de Pessoas, da Diretoria Regional Administrativa - Sul Fluminense, da Superintendência de Gestão das Regionais Administrativas"
2025-04-07,NATHÁLIA TERRASON DE ASSUNÇÃO,Assistente,DAS-6,"Subsecretaria de Infraestrutura Ambiental, da Secretaria de Estado do Ambiente e Sustentabilidade"
2025-04-07,RONALDO HILÁRIO DA SILVA,Assessor,DAS-7,Secretaria de Estado de Desenvolvimento Social e Direitos Humanos
2025-04-07,JOSE MARCOS DE JESUS BARBOSA,As- sessor,DAS-8,Secretaria de Estado de Esporte e Lazer
2025-04-07,QUEZIA MARTINS DE OLIVEIRA,As- sessor,DAS-8,Secretaria de Estado de Esporte e Lazer
2025-04-07,LEONARDO  HENRIQUES  CARVALHEIRA,Assistente II,DAI-6,Secretaria de Estado de Turismo
2025-04-07,AFONSO LUIZ DA SILVA RIBEIRO,Assessor-Chefe,DAS-8,Secretaria de Estado de Habitação de Interesse Social
2025-04-07,BARBARA GUEDES MUNIZ DE SOUZA,Ajudante I,DAI-1,Secretaria de Estado de Habitação de Interesse Social
