Data DO,Nome,Cargo,Símbolo,Lotação
2025-04-08,RODRIGO DRABLE COSTA,Subsecretário de Estado,SS,"Subsecretaria de Articulação Institucional, da Secretaria de Estado do Gabinete do Governador"
2025-04-08,THAYANE ATAIDE FERRAZ SARGES,Assessor Especial,DG,"Secretaria de Estado de Desenvolvimento Econômico, Indústria, Comércio e Serviços"
2025-04-08,REINALDO LOPES COSTA,Assessor Especial,DAS-10,"Assessoria Legislativa - ASSLEG, do Gabinete do Secretário, da Secretaria de Estado de Energia e Economia do Mar"
2025-04-08,HELOISE RABELLO DE SOUZA,Chefe de Centro,DAS-6,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-08,MARCIA DE FREITAS BARBOSA PINHEIRO,Assistente III,DAI-5,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-08,ROGERIO JARDIM FRANCISCO,Assistente III,DAI-5,"Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ, da Secretaria de Estado da Casa Civil"
2025-04-08,CARLOS EDUARDO NUNES DE MOURA,Gerente de Divisão,DAS-6,"Instituto de Pesos e Medidas do Estado do Rio de Janeiro - IPEM/RJ, da Secretaria de Estado da Casa Civil"
2025-04-08,MAURÍCIO VILLELA DE SOUZA E SILVA,Assessor,DAS-8,"Assessoria de Seguridade, da Diretoria de Seguridade, do Fundo Único de Previdência Social do Estado do Rio de Janeiro - RIOPREVIDÊNCIA"
2025-04-08,LEONARDO FERREIRA DE CARVALHO,Ajudante I,DAI-1,"Departamento de Recursos Minerais - DRM-RJ, da Secretaria de Estado de Desenvolvimento Econômico, Indústria"
2025-04-08,LUIS ANTONIO LUCIANO DOS SANTOS,Coordenador,DAS-8,"Coordenadoria de Auditoria Interna, da Auditoria SUS, da Subsecretaria de Auditoria e Controle"
2025-04-08,ANGELO BATISTA DA SILVA,Assistente II,DAI-6,"Superintendência de Informações Estrátegicas de Vigilância em Saúde - SIEVS, da Subsecretaria de Vigilância e Atenção Primária à Saúde, da Secretaria de Estado de Saúde"
2025-04-08,JOSÉ LUIZ DE BRUM SABENÇA,Chefe de Turma,DAI-4,"Seção de Informação, do Serviço de Apoio Logístico, da Divisão de Apoio Operacional"
2025-04-08,MARIA ANGELICA SODRÉ MAGALHÃES NOVAES,Assistente II,DAI-6,"Coordenadoria de Acompanhamento do Desempenho Escolar, da Superintendência de Avaliação e Acompanhamento do Desempenho Escolar, da Subsecretaria de Gestão de Ensino"
2025-04-08,FERNANDO FARIA CORDEIRO,Assistente,DAS-6,"Assessoria de Contabilidade, da Superintendência de Orçamento e Finança, da Subsecretaria Executiva"
2025-04-08,JORGE ADALBERTO MARTINS JOSÉ,Assessor-Chefe,DAS-8,"Assessoria de Contabilidade, da Superintendência de Orçamento e Finança, da Subsecretaria Executiva"
2025-04-08,NIRMO ANTONIO ARAUJO FILHO,Assistente II,DAI-6,"Assessoria de Controle Interno, do Gabinete do Secretário, da Secretaria de Estado de Educação"
2025-04-08,ADILSON DA ROCHA CARVALHO FILHO,Assistente II,DAI-6,Secretaria de Estado de Cultura e Economia Criativa
2025-04-08,ANDRESSA MORAES,Assistente II,DAI-6,Secretaria de Estado de Desenvolvimento Social e Direitos Humanos
2025-04-08,LETÍCIA OLIVEIRA DE SANTANNA,Assistente,DAS-6,Secretaria de Estado de Turismo
2025-04-08,BARBARA MARQUES DA SILVA ALVES,Assistente II,DAI-6,"Instituto de Terras e Cartografia do Estado do Rio de Janeiro - ITERJ, da Secretaria de Estado de Infraestrutura e Obras Públicas"
2025-04-08,MARIA EDUARDA SOUZA DOS SANTOS,Ajudante I,DAI-1,Secretaria de Estado das Cidades
